temperature,humidity,wind_speed,rainfall,visibility,road_condition,soil_moisture,mining_activity_level,transport_delay_hours
28.5,65.2,12.3,0.0,15.2,8,25.3,7,0.5
32.1,45.8,18.7,2.1,8.5,6,42.1,9,2.3
25.8,78.3,8.9,12.5,3.2,3,67.8,4,6.7
29.7,55.4,15.2,1.3,10.8,7,38.9,8,1.8
31.2,42.1,22.4,0.5,14.3,8,29.5,9,0.8
23.4,85.2,6.8,18.7,2.1,2,78.4,3,8.9
27.9,61.3,10.5,3.2,7.6,5,48.2,6,3.5
33.5,38.7,25.1,0.0,16.8,9,22.1,9,0.3
22.1,88.9,5.3,22.4,1.5,1,85.6,2,10.2
30.3,52.8,13.8,1.8,9.4,6,44.3,7,2.1
26.7,70.5,9.2,8.9,4.5,4,58.7,5,5.3
28.9,58.4,11.7,2.7,6.8,5,51.2,6,3.1
31.8,40.3,20.6,0.3,13.2,8,31.4,8,1.2
24.5,82.1,7.5,15.3,2.8,3,72.3,4,7.4
29.2,56.9,14.3,1.5,11.2,7,36.8,7,1.6
32.7,37.2,23.8,0.0,15.9,9,20.5,9,0.4
25.3,75.8,8.3,10.2,3.9,4,62.1,5,4.8
27.4,64.1,10.1,4.5,5.7,5,53.9,6,3.8
30.8,49.7,16.9,0.9,12.5,7,33.7,8,1.4
23.8,83.7,6.9,19.8,2.3,2,80.2,3,9.1
28.3,60.2,12.5,2.3,8.9,6,46.8,7,2.5
31.5,43.9,19.8,0.4,14.1,8,28.3,9,0.9
26.1,73.4,8.7,9.5,4.2,4,60.5,5,4.3
29.5,54.3,13.6,1.7,10.1,7,39.8,7,1.9
32.4,39.2,21.7,0.1,14.9,8,25.9,9,0.7
24.1,86.5,7.1,17.2,2.5,3,75.4,4,8.2
27.1,67.3,9.8,5.8,5.1,5,55.6,6,4.1
30.1,51.2,15.8,1.1,11.8,7,35.2,8,1.5
33.1,36.8,24.3,0.0,16.3,9,18.9,9,0.2
22.8,87.3,5.8,21.5,1.8,1,83.2,2,9.8
26.9,69.1,9.4,7.3,4.8,4,56.9,5,4.6
28.7,59.7,11.9,2.5,7.9,6,49.3,6,2.8
31.9,41.5,20.1,0.2,13.8,8,30.1,8,1.1
25.6,77.2,8.5,11.8,3.5,4,64.3,5,5.1
29.0,57.6,12.8,1.9,9.7,6,43.2,7,2.3
32.8,38.1,22.9,0.0,15.5,9,21.8,9,0.5
24.9,81.3,7.7,14.5,3.1,3,70.8,4,7.1
27.6,62.8,10.8,3.9,6.3,5,52.4,6,3.4
30.5,48.3,17.5,0.7,12.1,7,34.6,8,1.3
23.5,84.9,6.7,18.9,2.2,2,78.9,3,8.8
28.0,61.9,11.2,2.9,8.2,6,47.5,7,2.7
31.3,44.7,19.2,0.5,13.9,8,29.1,9,1.0
26.3,72.8,8.9,8.7,4.1,4,59.8,5,4.4
29.8,53.5,14.1,1.4,10.5,7,38.2,7,1.8
32.5,40.1,21.2,0.2,14.6,8,27.5,9,0.8
24.3,85.7,7.3,16.8,2.6,3,73.9,4,7.9
27.3,66.2,10.3,4.8,5.9,5,54.8,6,3.9
30.2,50.4,16.2,1.0,11.5,7,36.1,8,1.6
33.3,37.5,23.5,0.0,16.1,9,19.8,9,0.3
22.5,88.1,5.6,20.8,1.7,1,82.4,2,10.0
26.8,70.9,9.6,6.9,4.6,4,57.6,5,4.5
28.5,60.8,12.1,2.2,8.1,6,48.7,7,2.4
31.7,42.8,19.5,0.3,13.5,8,31.2,8,1.2
25.9,76.5,8.6,10.9,3.7,4,63.4,5,5.0
29.3,56.1,13.2,1.6,9.9,7,41.5,7,2.0
32.6,39.6,22.1,0.1,15.2,8,26.8,9,0.6
24.7,82.9,7.9,13.9,3.3,3,71.9,4,6.8
27.7,63.5,10.6,3.5,6.7,5,53.1,6,3.6
30.6,47.1,17.1,0.8,12.3,7,35.9,8,1.4
23.7,83.9,6.5,17.8,2.4,2,77.5,3,8.5
28.2,62.4,11.5,2.6,8.5,6,46.1,7,2.6
31.4,45.3,18.9,0.6,14.3,8,28.7,9,1.1
26.4,74.1,9.1,8.1,4.3,4,61.2,5,4.7
29.6,55.1,13.9,1.3,10.7,7,39.2,7,1.7
32.3,40.8,20.8,0.2,14.8,8,30.3,9,0.9
24.4,86.2,7.4,15.9,2.7,3,74.6,4,8.1
27.5,67.9,10.4,4.2,6.1,5,55.3,6,4.0
30.4,49.1,16.6,0.9,11.9,7,35.5,8,1.7
33.0,37.9,23.2,0.0,16.4,9,20.2,9,0.4
22.9,87.7,5.7,21.2,1.9,1,83.8,2,9.9
26.6,71.5,9.3,7.1,4.7,4,58.3,5,4.9
28.8,59.3,12.3,2.4,7.8,6,50.1,6,2.9
31.6,43.4,19.8,0.4,13.7,8,32.1,8,1.3
25.7,78.9,8.4,11.3,3.6,4,65.7,5,5.4
29.1,57.2,12.9,1.8,9.8,6,42.8,7,2.2
32.9,38.8,22.6,0.0,15.7,9,22.7,9,0.5
24.8,82.5,8.0,14.2,3.4,3,72.9,4,7.2
27.8,64.3,10.9,3.8,6.5,5,54.2,6,3.7
30.7,46.4,17.8,0.7,12.7,7,36.5,8,1.5
23.6,84.5,6.6,18.3,2.3,2,79.5,3,8.6
28.1,61.6,11.8,2.8,8.3,6,47.9,7,2.8
31.1,44.2,19.1,0.5,14.0,8,29.8,9,1.2
26.2,73.7,9.0,8.4,4.4,4,62.8,5,4.8
29.9,54.7,14.4,1.2,10.9,7,40.1,7,1.9
32.2,41.2,21.1,0.3,14.5,8,31.7,9,1.0
24.6,85.3,7.6,16.3,2.9,3,76.1,4,8.4
27.2,68.7,10.2,4.6,5.8,5,57.1,6,4.2
30.9,48.9,16.9,0.8,12.0,7,37.3,8,1.8
33.4,38.3,24.0,0.0,16.7,9,21.5,9,0.3
22.7,87.0,5.5,20.3,1.6,1,81.9,2,9.7
26.5,72.2,9.5,6.5,4.9,4,59.4,5,5.2
28.6,60.5,12.4,2.1,8.0,6,49.8,7,2.6
31.0,42.5,19.7,0.4,13.4,8,33.5,8,1.4
25.4,79.6,8.2,12.1,3.8,4,66.8,5,5.7
29.4,55.8,13.1,1.5,10.3,7,41.9,7,2.1
32.0,39.9,22.3,0.1,15.1,8,27.9,9,0.7
24.2,86.9,7.2,15.6,2.8,3,75.8,4,7.6
27.0,65.8,10.0,5.3,5.4,5,56.4,6,4.3
30.3,50.8,16.4,1.1,11.3,7,37.9,8,1.7
33.2,37.0,23.7,0.0,16.5,9,19.3,9,0.2
22.3,89.2,5.4,23.1,1.4,1,87.1,2,10.5
26.0,74.8,8.8,9.8,4.0,4,61.9,5,4.1
28.4,58.9,11.6,2.0,7.3,5,51.8,6,2.2
31.8,41.8,20.3,0.2,13.1,8,32.9,8,0.9
25.1,80.4,7.8,13.2,3.0,3,69.2,4,6.3
28.9,57.9,12.6,1.7,9.1,6,44.7,7,1.4
32.7,38.5,22.8,0.0,15.3,9,23.4,9,0.4
24.0,87.8,6.4,19.2,2.0,2,81.3,3,9.3
27.9,64.8,11.1,3.2,6.9,5,53.7,6,3.2
30.8,47.6,17.3,0.6,12.9,7,36.9,8,1.0
23.9,85.1,6.3,17.5,2.1,2,76.7,3,7.8
